Namespace(Cluster_gamma=0.01, Feature_alpha=1.0, Label_beta=0.05, Use_tSNE=True, arch='vgg_small_1w1a', batch_size=128, epochs=600, evaluate=False, lr=0.05, momentum=0.9, num_classes=10, print_freq=50, resume='', save_dir='saveModel-000', save_every=100, seed=2023, start_epoch=0, temperature=4.0, warm_up_epochs=8, weight_decay=0.0001, workers=4)
Epoch	train_loss	val_loss	train_acc	val_acc	
384	0.250	0.342	94.599	88.181
385	0.248	0.331	94.714	88.822
386	0.248	0.355	94.770	88.401
387	0.248	0.324	94.702	89.243
388	0.245	0.352	94.744	88.251
389	0.239	0.330	95.044	88.682
390	0.244	0.339	94.836	88.632
391	0.244	0.326	94.782	88.852
392	0.236	0.331	95.130	88.712
393	0.237	0.346	95.026	88.702
394	0.240	0.352	95.010	87.871
395	0.240	0.334	95.084	88.962
396	0.235	0.323	95.108	88.812
397	0.237	0.350	95.060	88.351
398	0.235	0.367	95.098	87.680
399	0.233	0.327	95.178	88.972
400	0.230	0.346	95.186	88.602
401	0.227	0.327	95.431	89.203
402	0.229	0.326	95.335	89.323
403	0.230	0.372	95.286	87.530
404	0.226	0.328	95.563	88.962
405	0.223	0.331	95.495	88.802
406	0.227	0.333	95.463	88.702
407	0.224	0.340	95.527	88.752
408	0.225	0.317	95.489	89.273
409	0.223	0.335	95.547	88.862
410	0.218	0.324	95.771	89.163
411	0.221	0.334	95.615	88.832
412	0.216	0.326	95.759	89.032
413	0.218	0.316	95.623	89.133
414	0.213	0.337	95.895	88.421
415	0.217	0.324	95.779	88.932
416	0.211	0.323	96.020	89.253
417	0.213	0.327	95.719	89.183
418	0.207	0.327	96.134	89.373
419	0.212	0.319	95.817	89.153
420	0.209	0.327	95.948	88.962
421	0.204	0.333	96.154	88.682
422	0.203	0.320	96.196	89.363
423	0.207	0.323	96.098	88.932
424	0.205	0.323	96.146	89.263
425	0.205	0.325	96.106	89.153
426	0.205	0.310	96.056	89.663
427	0.204	0.332	96.144	88.932
428	0.206	0.334	96.136	88.902
429	0.200	0.307	96.300	89.493
430	0.196	0.309	96.320	89.864
431	0.199	0.305	96.326	89.523
432	0.195	0.345	96.470	88.552
433	0.195	0.306	96.354	89.854
434	0.192	0.311	96.577	89.784
435	0.192	0.327	96.550	89.193
436	0.189	0.307	96.621	89.503
437	0.188	0.323	96.727	89.143
438	0.189	0.317	96.659	89.143
439	0.183	0.315	96.813	89.573
440	0.185	0.319	96.741	89.403
441	0.187	0.317	96.695	89.473
442	0.182	0.321	96.905	89.253
443	0.180	0.309	96.911	89.683
444	0.183	0.327	96.857	89.273
445	0.178	0.327	97.031	89.042
446	0.178	0.318	97.065	89.513
447	0.178	0.301	97.011	90.034
448	0.177	0.307	97.025	89.984
449	0.175	0.308	97.063	89.694
450	0.174	0.320	97.107	89.273
451	0.173	0.302	97.188	89.904
452	0.175	0.321	97.103	89.493
453	0.176	0.320	97.061	89.333
454	0.175	0.311	97.027	89.904
455	0.175	0.321	97.059	89.423
456	0.174	0.310	97.075	89.804
457	0.177	0.323	96.921	88.972
458	0.177	0.322	96.963	89.243
459	0.180	0.317	96.837	89.483
460	0.177	0.320	97.057	89.443
461	0.177	0.329	96.939	89.203
462	0.181	0.327	96.823	88.912
463	0.181	0.322	96.835	89.543
464	0.183	0.328	96.753	89.113
465	0.179	0.306	96.955	90.054
466	0.175	0.321	97.059	89.393
467	0.178	0.318	96.917	89.423
468	0.182	0.318	96.763	89.493
469	0.182	0.319	96.799	89.583
470	0.183	0.321	96.715	89.443
471	0.183	0.324	96.779	89.533
472	0.180	0.322	96.879	89.533
473	0.180	0.325	96.813	88.862
474	0.181	0.321	96.823	89.663
475	0.180	0.328	96.817	89.133
476	0.179	0.330	96.935	89.203
477	0.178	0.332	96.897	88.592
478	0.179	0.335	96.825	88.642
479	0.176	0.326	97.019	88.992
480	0.183	0.331	96.761	89.363
481	0.181	0.313	96.747	89.303
482	0.177	0.313	96.995	89.754
483	0.174	0.314	97.023	89.503
484	0.179	0.306	96.807	89.784
485	0.174	0.310	97.005	89.904
486	0.176	0.312	96.913	89.593
487	0.175	0.299	96.955	90.124
488	0.171	0.315	97.087	89.553
489	0.172	0.316	97.099	89.203
490	0.171	0.317	97.039	89.433
491	0.168	0.319	97.171	89.663
492	0.165	0.308	97.378	89.393
493	0.167	0.313	97.230	89.443
494	0.164	0.308	97.312	89.924
495	0.163	0.320	97.396	89.533
496	0.162	0.310	97.464	89.814
497	0.162	0.319	97.448	89.493
498	0.161	0.313	97.516	89.583
499	0.158	0.296	97.570	90.375
500	0.162	0.307	97.432	89.734
501	0.156	0.313	97.564	89.473
502	0.153	0.304	97.676	90.134
503	0.153	0.291	97.738	90.104
504	0.153	0.306	97.664	89.854
505	0.152	0.303	97.650	90.044
506	0.152	0.309	97.700	90.194
507	0.150	0.303	97.770	90.064
508	0.148	0.306	97.869	90.104
509	0.144	0.300	97.997	90.054
510	0.144	0.309	98.009	89.844
511	0.145	0.302	97.907	90.024
512	0.144	0.301	98.015	89.954
513	0.141	0.303	98.027	90.164
514	0.139	0.298	98.093	89.984
515	0.137	0.298	98.167	90.134
516	0.136	0.297	98.197	90.124
517	0.135	0.298	98.295	90.254
518	0.135	0.293	98.221	90.345
519	0.135	0.292	98.207	90.375
520	0.134	0.290	98.271	90.535
521	0.130	0.290	98.464	90.495
522	0.130	0.292	98.403	90.375
523	0.130	0.276	98.361	90.905
524	0.130	0.294	98.395	90.244
525	0.128	0.288	98.450	90.405
526	0.126	0.279	98.534	90.805
527	0.125	0.290	98.588	90.415
528	0.125	0.284	98.520	90.795
529	0.121	0.281	98.672	90.825
530	0.124	0.288	98.542	90.555
531	0.125	0.281	98.524	90.695
532	0.120	0.283	98.714	90.645
533	0.120	0.286	98.656	90.425
534	0.122	0.291	98.524	90.435
535	0.120	0.286	98.626	90.565
536	0.118	0.293	98.674	90.304
537	0.118	0.286	98.726	90.435
538	0.118	0.286	98.730	90.645
539	0.116	0.277	98.784	90.925
540	0.115	0.280	98.820	90.755
541	0.117	0.281	98.744	90.615
542	0.115	0.278	98.748	90.885
543	0.115	0.293	98.822	90.415
544	0.114	0.283	98.872	90.795
545	0.113	0.286	98.844	90.485
546	0.111	0.282	98.976	90.505
547	0.112	0.278	98.856	90.725
548	0.111	0.279	98.922	90.525
549	0.110	0.267	98.952	90.835
550	0.110	0.282	98.904	90.435
551	0.108	0.275	99.040	90.825
552	0.109	0.276	99.026	91.046
553	0.108	0.280	99.008	90.565
554	0.110	0.280	98.938	90.745
555	0.108	0.279	99.018	90.665
556	0.107	0.278	98.958	90.825
557	0.107	0.272	99.030	90.966
558	0.105	0.278	99.083	90.425
559	0.104	0.277	99.155	90.545
560	0.105	0.278	99.036	90.675
561	0.105	0.287	99.135	90.555
562	0.105	0.279	99.018	90.755
563	0.105	0.278	99.095	90.655
564	0.105	0.283	99.020	90.635
565	0.104	0.277	99.103	90.845
566	0.103	0.279	99.159	90.775
567	0.104	0.276	99.044	90.905
568	0.102	0.274	99.083	91.086
569	0.101	0.281	99.153	90.805
570	0.100	0.276	99.199	90.976
571	0.103	0.278	99.173	90.555
572	0.101	0.280	99.165	90.725
573	0.101	0.272	99.157	90.966
574	0.101	0.274	99.131	91.026
575	0.100	0.276	99.199	90.605
576	0.101	0.269	99.163	91.236
577	0.100	0.269	99.189	91.116
578	0.100	0.277	99.251	90.755
579	0.100	0.268	99.201	91.016
580	0.099	0.274	99.261	91.056
581	0.100	0.270	99.193	91.046
582	0.099	0.271	99.229	91.156
583	0.099	0.275	99.219	90.895
584	0.099	0.278	99.271	90.845
585	0.098	0.273	99.251	90.996
586	0.098	0.277	99.165	90.855
587	0.098	0.278	99.259	90.925
588	0.096	0.270	99.315	91.196
589	0.096	0.268	99.329	91.026
590	0.097	0.267	99.275	91.006
591	0.097	0.269	99.289	91.106
592	0.096	0.271	99.319	91.106
593	0.097	0.272	99.275	91.376
594	0.095	0.266	99.313	91.146
595	0.097	0.268	99.299	90.956
596	0.096	0.274	99.319	91.156
597	0.097	0.273	99.283	91.096
598	0.097	0.266	99.239	91.226
599	0.095	0.273	99.377	91.246
