Namespace(Cluster_gamma=0.01, Feature_alpha=1.0, Label_beta=0.05, Use_tSNE=True, arch='resnet20_1w1a', batch_size=128, epochs=700, evaluate=False, lr=0.1, momentum=0.9, num_classes=10, print_freq=50, resume='', save_dir='saveModel-000', save_every=100, seed=2023, start_epoch=0, temperature=4.0, warm_up_epochs=8, weight_decay=0.0001, workers=4)
Epoch	train_loss	val_loss	train_acc	val_acc	
250	0.702	0.686	78.546	76.362
251	0.702	0.901	78.425	70.463
252	0.699	0.774	78.462	73.958
253	0.703	0.839	78.233	72.276
254	0.711	0.664	77.949	76.873
255	0.701	0.721	78.458	75.180
256	0.703	1.014	78.179	67.568
257	0.701	0.721	78.401	75.311
258	0.704	0.738	78.121	73.958
259	0.707	0.817	78.083	71.995
260	0.695	0.639	78.618	78.165
261	0.699	0.753	78.383	74.389
262	0.694	0.697	78.524	75.150
263	0.703	0.693	78.233	75.721
264	0.699	0.760	78.538	74.339
265	0.695	0.720	78.630	75.321
266	0.693	0.683	78.401	76.573
267	0.697	0.699	78.576	76.322
268	0.694	0.765	78.722	73.688
269	0.703	0.888	78.075	71.014
270	0.686	0.744	78.982	74.469
271	0.699	0.742	78.618	74.790
272	0.689	0.903	78.572	70.282
273	0.694	0.767	78.678	73.107
274	0.698	0.746	78.502	73.868
275	0.699	0.698	78.518	75.571
276	0.693	0.744	78.774	74.279
277	0.701	0.719	78.403	75.351
278	0.696	0.803	78.582	72.105
279	0.696	0.767	78.574	73.518
280	0.692	0.776	78.478	73.578
281	0.694	0.690	78.429	76.262
282	0.689	0.752	78.742	74.559
283	0.692	0.783	78.724	73.007
284	0.689	0.640	78.984	78.005
285	0.688	0.714	78.846	75.260
286	0.689	0.707	78.728	75.661
287	0.690	0.728	79.075	74.910
288	0.688	0.788	79.058	72.516
289	0.690	0.623	78.738	78.576
290	0.693	0.883	78.740	69.992
291	0.686	0.765	79.012	73.528
292	0.688	0.717	78.976	75.461
293	0.692	0.640	78.648	77.965
294	0.687	0.633	78.972	77.875
295	0.687	0.723	78.888	75.741
296	0.685	0.814	78.850	72.296
297	0.684	0.730	78.938	74.569
298	0.688	0.665	78.966	77.133
299	0.682	0.759	79.227	73.978
300	0.689	0.689	79.135	76.262
301	0.684	0.783	78.860	73.347
302	0.685	0.682	78.932	76.322
303	0.687	0.698	78.906	75.481
304	0.683	0.690	79.028	76.162
305	0.681	0.786	79.281	72.716
306	0.682	0.660	79.183	77.344
307	0.683	0.785	79.030	73.097
308	0.681	0.809	79.199	72.716
309	0.685	0.686	78.766	76.482
310	0.683	0.704	78.976	75.691
311	0.689	0.682	78.846	76.102
312	0.676	0.786	79.309	72.957
313	0.682	0.659	79.137	76.853
314	0.681	0.703	79.145	75.661
315	0.686	0.677	78.954	76.282
316	0.677	0.639	79.239	78.115
317	0.681	0.834	79.329	72.135
318	0.682	0.663	79.085	76.943
319	0.682	0.740	79.113	74.349
320	0.675	0.712	79.421	75.421
321	0.673	0.729	79.375	75.000
322	0.670	0.674	79.529	76.813
323	0.675	0.842	79.407	71.404
324	0.677	0.709	79.325	75.461
325	0.677	0.780	79.297	72.356
326	0.679	0.731	79.165	74.720
327	0.676	0.648	79.367	77.684
328	0.679	0.728	79.125	75.240
329	0.680	0.848	79.257	71.955
330	0.672	0.679	79.313	76.482
331	0.672	0.755	79.427	74.389
332	0.669	0.686	79.615	76.242
333	0.676	0.823	79.245	72.226
334	0.671	0.726	79.239	75.621
335	0.669	0.686	79.355	76.653
336	0.675	0.770	79.283	73.037
337	0.672	0.720	79.399	75.240
338	0.672	0.733	79.479	74.740
339	0.676	0.616	79.281	78.516
340	0.670	0.819	79.383	71.615
341	0.668	0.750	79.513	74.409
342	0.676	0.660	79.271	76.973
343	0.668	1.006	79.451	67.468
344	0.666	0.718	79.325	75.521
345	0.671	0.760	79.457	73.948
346	0.668	0.628	79.611	78.415
347	0.665	0.616	79.587	78.706
348	0.671	0.629	79.393	78.486
349	0.663	0.675	79.746	76.402
350	0.665	0.640	79.653	78.315
351	0.663	0.648	79.730	77.885
352	0.666	0.769	79.679	74.018
353	0.668	0.711	79.675	75.260
354	0.669	0.611	79.273	78.976
355	0.661	0.670	79.874	76.522
356	0.665	0.630	79.523	78.105
357	0.662	0.629	79.681	77.815
358	0.659	0.649	79.882	77.464
359	0.658	0.657	80.076	77.324
360	0.657	0.758	79.880	74.459
361	0.657	0.693	79.818	76.342
362	0.663	0.654	79.716	77.534
363	0.656	0.818	79.998	73.017
364	0.659	0.614	79.802	79.046
365	0.659	0.803	80.084	72.446
366	0.656	0.652	80.000	77.454
367	0.661	0.599	79.601	79.517
368	0.654	0.615	79.826	78.906
369	0.656	0.697	79.874	76.102
370	0.653	0.661	79.924	77.053
371	0.651	0.763	80.178	73.417
372	0.660	0.650	79.934	77.133
373	0.653	0.646	80.256	77.935
374	0.652	0.613	80.347	78.596
375	0.652	0.686	79.918	76.733
376	0.655	0.584	80.054	79.848
377	0.654	0.684	80.026	76.422
378	0.649	0.684	80.134	76.162
379	0.646	0.656	80.284	77.194
380	0.650	0.684	80.102	76.743
381	0.650	0.710	80.218	75.561
382	0.654	0.635	80.138	78.385
383	0.643	0.711	80.188	75.451
384	0.645	0.649	80.477	77.784
385	0.647	0.662	80.282	77.173
386	0.649	0.634	80.288	78.566
387	0.645	0.603	80.495	79.056
388	0.637	0.669	80.709	76.763
389	0.643	0.589	80.535	79.357
390	0.645	0.621	80.397	78.486
391	0.642	0.738	80.499	74.860
392	0.645	0.696	80.353	75.992
393	0.642	0.706	80.357	75.681
394	0.642	0.728	80.521	74.830
395	0.641	0.623	80.383	78.866
