Namespace(Cluster_gamma=0.01, Feature_alpha=1.0, Label_beta=0.05, Use_tSNE=True, arch='ResNet18', batch_size=128, epochs=800, evaluate=False, lr=0.3, momentum=0.9, num_classes=10, print_freq=50, resume='', save_dir='saveModel-000', save_every=100, seed=2023, start_epoch=0, temperature=4.0, warm_up_epochs=16, weight_decay=1e-05, workers=4)
Epoch	train_loss	val_loss	train_acc	val_acc	
661	0.034	0.361	99.317	91.416
662	0.034	0.382	99.331	90.835
663	0.033	0.349	99.333	91.476
664	0.035	0.351	99.311	91.657
665	0.030	0.359	99.449	91.456
666	0.029	0.337	99.457	91.657
667	0.030	0.344	99.455	91.677
668	0.029	0.339	99.495	91.807
669	0.028	0.340	99.523	91.757
670	0.029	0.352	99.483	91.556
671	0.033	0.353	99.363	91.366
672	0.029	0.343	99.475	91.927
673	0.028	0.362	99.479	91.577
674	0.027	0.326	99.533	92.117
675	0.028	0.357	99.475	91.546
676	0.030	0.332	99.457	92.037
677	0.027	0.343	99.511	91.506
678	0.027	0.334	99.527	91.787
679	0.027	0.335	99.513	91.917
680	0.026	0.325	99.549	92.308
681	0.026	0.337	99.565	92.037
682	0.024	0.351	99.591	91.466
683	0.025	0.326	99.593	92.067
684	0.025	0.322	99.583	92.338
685	0.024	0.327	99.577	92.147
686	0.022	0.338	99.653	91.907
687	0.022	0.342	99.647	91.957
688	0.021	0.349	99.696	91.667
689	0.021	0.334	99.696	92.228
690	0.022	0.339	99.661	92.047
691	0.021	0.334	99.679	92.107
692	0.022	0.336	99.633	92.017
693	0.022	0.332	99.619	92.147
694	0.020	0.326	99.688	92.198
695	0.018	0.333	99.734	92.238
696	0.018	0.332	99.758	92.308
697	0.020	0.348	99.675	92.107
698	0.018	0.334	99.758	92.218
699	0.019	0.333	99.728	92.248
700	0.020	0.324	99.690	92.348
701	0.017	0.323	99.784	92.508
702	0.018	0.329	99.770	92.538
703	0.018	0.328	99.748	92.408
704	0.018	0.337	99.732	92.097
705	0.017	0.329	99.750	92.097
706	0.017	0.331	99.766	92.458
707	0.016	0.318	99.776	92.458
708	0.016	0.334	99.786	92.398
709	0.015	0.324	99.836	92.558
710	0.016	0.330	99.814	92.268
711	0.015	0.327	99.804	92.378
712	0.015	0.324	99.806	92.568
713	0.015	0.336	99.806	92.318
714	0.015	0.331	99.818	92.448
715	0.014	0.328	99.844	92.498
716	0.013	0.321	99.888	92.598
717	0.013	0.324	99.886	92.558
718	0.013	0.323	99.862	92.668
719	0.013	0.324	99.872	92.708
720	0.013	0.328	99.856	92.578
721	0.014	0.343	99.830	92.388
722	0.013	0.342	99.866	92.198
723	0.013	0.329	99.888	92.418
724	0.013	0.338	99.846	92.388
725	0.013	0.332	99.866	92.308
726	0.012	0.325	99.888	92.458
727	0.013	0.319	99.844	92.618
728	0.013	0.337	99.856	92.478
729	0.011	0.312	99.902	92.718
730	0.012	0.334	99.870	92.668
731	0.011	0.330	99.892	92.458
732	0.011	0.322	99.898	92.798
733	0.011	0.320	99.898	92.618
734	0.011	0.341	99.894	92.298
735	0.010	0.334	99.934	92.578
736	0.011	0.347	99.900	92.458
737	0.011	0.333	99.894	92.518
738	0.011	0.331	99.916	92.378
739	0.011	0.331	99.916	92.648
740	0.011	0.328	99.916	92.808
741	0.010	0.335	99.920	92.578
742	0.010	0.326	99.916	92.768
